"BehaviorSpace results (NetLogo 6.3.0)"
"Muara_Sekalo and Suo Suo v68c_random location_SA embed.nlogo"
"attack variation v5"
"09/06/2023 14:35:04:555 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-80","80"
"[run number]","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16"
"between-adoption-time-delay","8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,
"eff-broken-factor","0.75",,,,,,,,,,,,,,,,,,,"0.75",,,,,,,,,,,,,,,,,,,"0.75",,,,,,,,,,,,,,,,,,,"0.75",,,,,,,,,,,,,,,,,,,"0.75",,,,,,,,,,,,,,,,,,,"0.75",,,,,,,,,,,,,,,,,,,"0.75",,,,,,,,,,,,,,,,,,,"0.75",,,,,,,,,,,,,,,,,,,"0.75",,,,,,,,,,,,,,,,,,,"0.75",,,,,,,,,,,,,,,,,,,"0.75",,,,,,,,,,,,,,,,,,,"0.75",,,,,,,,,,,,,,,,,,,"0.75",,,,,,,,,,,,,,,,,,,"0.75",,,,,,,,,,,,,,,,,,,"0.75",,,,,,,,,,,,,,,,,,,"0.75",,,,,,,,,,,,,,,,,,
"carbide-innitial-adopter","0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,
"farmers-population","100",,,,,,,,,,,,,,,,,,,"100",,,,,,,,,,,,,,,,,,,"100",,,,,,,,,,,,,,,,,,,"100",,,,,,,,,,,,,,,,,,,"100",,,,,,,,,,,,,,,,,,,"100",,,,,,,,,,,,,,,,,,,"100",,,,,,,,,,,,,,,,,,,"100",,,,,,,,,,,,,,,,,,,"100",,,,,,,,,,,,,,,,,,,"100",,,,,,,,,,,,,,,,,,,"100",,,,,,,,,,,,,,,,,,,"100",,,,,,,,,,,,,,,,,,,"100",,,,,,,,,,,,,,,,,,,"100",,,,,,,,,,,,,,,,,,,"100",,,,,,,,,,,,,,,,,,,"100",,,,,,,,,,,,,,,,,,
"trustworthiness-treshold","0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,
"RC1","-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,
"efence-innitial-adopter","0.05",,,,,,,,,,,,,,,,,,,"0.05",,,,,,,,,,,,,,,,,,,"0.05",,,,,,,,,,,,,,,,,,,"0.05",,,,,,,,,,,,,,,,,,,"0.05",,,,,,,,,,,,,,,,,,,"0.05",,,,,,,,,,,,,,,,,,,"0.05",,,,,,,,,,,,,,,,,,,"0.05",,,,,,,,,,,,,,,,,,,"0.05",,,,,,,,,,,,,,,,,,,"0.05",,,,,,,,,,,,,,,,,,,"0.05",,,,,,,,,,,,,,,,,,,"0.05",,,,,,,,,,,,,,,,,,,"0.05",,,,,,,,,,,,,,,,,,,"0.05",,,,,,,,,,,,,,,,,,,"0.05",,,,,,,,,,,,,,,,,,,"0.05",,,,,,,,,,,,,,,,,,
"SE2","0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,
"RC2","-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,,"-0.5",,,,,,,,,,,,,,,,,,
"avg-wealth","100000000",,,,,,,,,,,,,,,,,,,"100000000",,,,,,,,,,,,,,,,,,,"100000000",,,,,,,,,,,,,,,,,,,"100000000",,,,,,,,,,,,,,,,,,,"100000000",,,,,,,,,,,,,,,,,,,"100000000",,,,,,,,,,,,,,,,,,,"100000000",,,,,,,,,,,,,,,,,,,"100000000",,,,,,,,,,,,,,,,,,,"100000000",,,,,,,,,,,,,,,,,,,"100000000",,,,,,,,,,,,,,,,,,,"100000000",,,,,,,,,,,,,,,,,,,"100000000",,,,,,,,,,,,,,,,,,,"100000000",,,,,,,,,,,,,,,,,,,"100000000",,,,,,,,,,,,,,,,,,,"100000000",,,,,,,,,,,,,,,,,,,"100000000",,,,,,,,,,,,,,,,,,
"average-node-degree","8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,
"SE3","0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,
"TA1","0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,
