"BehaviorSpace results (NetLogo 6.3.0)"
"Muara_Sekalo and Suo Suo v68c_random location_SA embed.nlogo"
"perceived_eff_v1"
"09/08/2023 08:51:26:323 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-80","80"
"[run number]","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"between-adoption-time-delay","8",,,,,,,,,,,,,,,,,,,,
"eff-broken-factor","0.75",,,,,,,,,,,,,,,,,,,,
"carbide-innitial-adopter","0.25",,,,,,,,,,,,,,,,,,,,
"farmers-population","100",,,,,,,,,,,,,,,,,,,,
"trustworthiness-treshold","0.25",,,,,,,,,,,,,,,,,,,,
"RC1","-0.5",,,,,,,,,,,,,,,,,,,,
"efence-innitial-adopter","0.05",,,,,,,,,,,,,,,,,,,,
"SE2","0.3",,,,,,,,,,,,,,,,,,,,
"RC2","-0.5",,,,,,,,,,,,,,,,,,,,
"avg-wealth","100000000",,,,,,,,,,,,,,,,,,,,
"average-node-degree","8",,,,,,,,,,,,,,,,,,,,
"SE3","0.3",,,,,,,,,,,,,,,,,,,,
"TA1","0.3",,,,,,,,,,,,,,,,,,,,
"top-down-success-reach-treshold","0.65",,,,,,,,,,,,,,,,,,,,
"TA2","0.3",,,,,,,,,,,,,,,,,,,,
"spotlight-innitial-adopter","0.5",,,,,,,,,,,,,,,,,,,,
"std-wealth","1000000",,,,,,,,,,,,,,,,,,,,
"TA3","0.3",,,,,,,,,,,,,,,,,,,,
"std-attack","5",,,,,,,,,,,,,,,,,,,,
"attacks-memory-len","40",,,,,,,,,,,,,,,,,,,,
"scenario","Baseline",,,,,,,,,,,,,,,,,,,,
"mean-attack","20",,,,,,,,,,,,,,,,,,,,
"SE1","0.3",,,,,,,,,,,,,,,,,,,,
"[reporter]","mean [threat-appraisals] of farmers","mean [t-epidemical-evidence] of farmers","count farmers with [looking-for-alternatives-tools = True] / count farmers","count farmers with [alternatives1_i = 1]","count farmers with [alternatives1_i = 2]","count farmers with [alternatives1_i = 3]","count farmers with [alternatives1_i = 0]","sum [capital_assets] of farmers","sum [t-perceived-economical-lossess] of farmers","mean [crops-condition] of patches with [land_type = ""agriculture""]","(count patches with [land_type = ""agriculture"" and crops-ability-to-produce = 2]) /( count patches with [land_type = ""agriculture""])","count patches with [land_type = ""agriculture"" and mitigation-used = 1 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 1 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 2 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 2 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 3 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 3 ] + 1)","count patches with [land_type = ""agriculture"" and functionality = 1] / count patches with [land_type = ""agriculture"" ]","cum-damaged-crops-given-mit_1","cum-damaged-crops-given-mit_2","cum-damaged-crops-given-mit_3","[effectivity-mit_1] of farmers with [encounter-hec-with-mit > 0 and alternatives1_i = 1]","[effectivity-mit_1] of farmers with [encounter-hec-with-mit > 0 and alternatives1_i = 2]","final_rmse_score"
"[final]","0.4074158654829768","0.6114832252026566","0.62","39","57","3","1","5.511976696583831E9","2.9874960054053947E10","86.49036737477601","0","0.5208333333333334","0.9973821989528796","0.9375","0.8991935483870968","11","45","11","[1 1 1 1 1]","[1 0.6666666666666666 0.5 1 0.8333333333333334 1 1 0.6666666666666666 1 1 0.8214285714285714 1 1 1 1 0.8333333333333334 0.875 1 0 1 0.6666666666666666 1 0.5 1 1 1 0.9 1]","0"
"[min]","0","0","0","5","15","2","1","1.5907073118928874E9","0","86.49036737477601","0","0","0","0","0","0","0","0",,,"0"
"[max]","0.4956573604883143","0.611483225202657","0.84","82","77","25","20","1.0000852682539019E10","2.9874960054053947E10","100","0","0.9975490196078431","0.9973821989528796","0.9919354838709677","0.9899193548387096","11","45","11",,,"0"
"[mean]","0.39699324333283215","0.4468531261096337","0.6146153846153847","46.38461538461539","42.92307692307692","6.884615384615385","3.8076923076923075","5.79511987451777E9","1.8005515065048943E10","90.47019157532684","0","0.9199628406336167","0.9552785510853021","0.9117579153578294","0.9167183622828783","7.423076923076923","20.96153846153846","8.807692307692308",,,"0"
"[steps]","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25"

"[all run data]","mean [threat-appraisals] of farmers","mean [t-epidemical-evidence] of farmers","count farmers with [looking-for-alternatives-tools = True] / count farmers","count farmers with [alternatives1_i = 1]","count farmers with [alternatives1_i = 2]","count farmers with [alternatives1_i = 3]","count farmers with [alternatives1_i = 0]","sum [capital_assets] of farmers","sum [t-perceived-economical-lossess] of farmers","mean [crops-condition] of patches with [land_type = ""agriculture""]","(count patches with [land_type = ""agriculture"" and crops-ability-to-produce = 2]) /( count patches with [land_type = ""agriculture""])","count patches with [land_type = ""agriculture"" and mitigation-used = 1 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 1 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 2 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 2 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 3 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 3 ] + 1)","count patches with [land_type = ""agriculture"" and functionality = 1] / count patches with [land_type = ""agriculture"" ]","cum-damaged-crops-given-mit_1","cum-damaged-crops-given-mit_2","cum-damaged-crops-given-mit_3","[effectivity-mit_1] of farmers with [encounter-hec-with-mit > 0 and alternatives1_i = 1]","[effectivity-mit_1] of farmers with [encounter-hec-with-mit > 0 and alternatives1_i = 2]","final_rmse_score"
,"0","0","0","5","50","25","20","1.0000852682539019E10","0","100","0","0","0","0","0","0","0","0","[]","[]","0"
,"0.3000000000000005","0","0.38","13","59","17","11","9.626746382539017E9","0","97.98387096774194","0","0.9615384615384616","0.9960159362549801","0.9919354838709677","0.8024193548387096","1","4","0","[]","[1 0 1 1 0.6666666666666666 1 1]","0"
,"0.3000000000000005","0","0.38","23","49","17","11","9.396748882539017E9","0","96.7741935483871","0","0.984375","0.9966101694915255","0.9882352941176471","0.8891129032258065","2","6","1","[]","[1 0.75 1 0.8333333333333333 1 1 0.25]","0"
,"0.3000000000000005","0","0.38","30","42","17","11","9.15117638253902E9","0","94.95967741935483","0","0.9912280701754386","0.9959016393442623","0.9883720930232558","0.8891129032258065","2","8","3","[]","[0 1 0.8333333333333333 0.5 0.25 1 1 1 1 1 0.8333333333333334]","0"
,"0.3000000000000005","0","0.38","32","40","17","11","8.894701382539019E9","0","93.34677419354838","0","0.9932885906040269","0.9952153110047847","0.9883720930232558","0.8891129032258065","2","11","5","[1]","[0.25 1 1 0 0.8333333333333333 1 1 0.625 1 1 0.8888888888888888 1 1 0 0.5]","0"
,"0.31221239292751746","0","0.36","44","34","14","8","8.461847382539016E9","16259748000","91.73387096774194","0","0.9936708860759493","0.995","0.9883720930232558","0.8891129032258065","5","13","7","[1 1 1 1]","[0.75 1 1 0 0.9166666666666666 1 1 1 0.75 1 1]","0"
,"0.3122123929275177","0","0.36","46","32","14","8","8.173817382539021E9","16259748000","91.03975163191527","0","0.9954128440366973","0.9941176470588236","0.9859154929577465","0.9193548387096774","5","15","8","[1 1 1 1 1 1 1 1 1 1]","[1 0.9333333333333332 1 1 0.6666666666666666 1 0.7 1 0 1 1]","0"
,"0.4956573604883143","0.6114832252026564","0.84","75","18","6","1","7.882672382539019E9","16259748000","90.17210246213195","0","0.9956140350877193","0.99375","0.9859154929577465","0.9193548387096774","8","16","9","[1 1 1 1 1 1 1 1 1 1 1 1 1]","[0.6666666666666666 1 0 1 1 1 0.5833333333333334]","0"
,"0.4956573604883143","0.6114832252026567","0.84","77","17","5","1","7.522859882539018E9","16259748000","90.11593632359367","0","0.9973190348525469","0.9888888888888889","0.967741935483871","0.9899193548387096","9","17","9","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0.75 0 1 1 1 1 0.5714285714285714]","0"
,"0.4776904337653125","0.6114832252026566","0.77","78","17","4","1","6.989629800915825E9","2.137762618957095E10","89.76887665568033","0","0.9973890339425587","0.9882352941176471","0.9615384615384616","0.9899193548387096","9","17","11","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0.625 0 0.75 1 1 1 1]","0"
,"0.4776904337653125","0.6114832252026566","0.77","79","16","4","1","6.623644800915822E9","2.1377626189570946E10","89.61951814344613","0","0.9974226804123711","0.9882352941176471","0.9523809523809523","0.9899193548387096","9","18","11","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[1 0.6666666666666666 1 1 0.625 0.8 0]","0"
,"0.47769043376531234","0.6114832252026565","0.77","82","15","2","1","6.256102300915822E9","2.1377626189570946E10","89.61951814344613","0","0.9974554707379135","0.9875","0.9523809523809523","0.9899193548387096","9","18","11","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0.625 1 0.6666666666666666 1 0]","0"
,"0.47769043376531223","0.6114832252026567","0.77","79","18","2","1","5.882387300915824E9","2.137762618957095E10","89.61951814344613","0","0.9975490196078431","0.9866666666666667","0.9090909090909091","0.9899193548387096","9","18","11","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0.6666666666666666 0 1 1 1 1]","0"
,"0.4497334130473291","0.6114832252026566","0.73","81","16","2","1","5.344074322871063E9","2.176713215853879E10","89.61951814344613","0","0.9974554707379135","0.9888888888888889","0.9090909090909091","0.9899193548387096","9","18","11","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[1 1 1 1]","0"
,"0.44973341304732917","0.6114832252026564","0.73","76","21","2","1","4.971916822871062E9","2.1767132158538788E10","89.61951814344613","0","0.9975124378109452","0.9876543209876543","0.9090909090909091","0.9899193548387096","9","18","11","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[1 1 1 1 1 1]","0"
,"0.44973341304732906","0.6114832252026564","0.73","69","28","2","1","4.60754682287106E9","2.176713215853879E10","89.36241001779219","0","0.9973474801061007","0.9905660377358491","0.9090909090909091","0.9899193548387096","9","20","11","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[1 1 1 1 1 0.8 1 1 1 0 1]","0"
,"0.4497334130473291","0.6114832252026564","0.73","56","41","2","1","4.2540793228710623E9","2.1767132158538788E10","89.36241001779219","0","0.9970760233918129","0.9929078014184397","0.9090909090909091","0.9899193548387096","9","20","11","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0.8 1 1 1 1 0 1 1 1 1 1]","0"
,"0.4320884583890049","0.6114832252026567","0.71","43","53","3","1","3.7528028888269897E9","2.3445246076041878E10","88.97674782931126","0","0.996415770609319","0.9950980392156863","0.9090909090909091","0.9899193548387096","9","23","11","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[1 1 0 0 1 1 1 1 1 0.5 1 1 0 1]","0"
,"0.43208845838900506","0.611483225202657","0.71","37","59","3","1","3.4405803888269897E9","2.3445246076041878E10","88.6448053074802","0","0.9953488372093023","0.9961977186311787","0.9375","0.9899193548387096","9","26","11","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0.5 1 1 1 0 1 1 0 1 0.75 1 0.6666666666666666 1 0.75 1 0 1]","0"
,"0.43208845838900506","0.6114832252026565","0.71","32","64","3","1","3.1377028888269877E9","2.344524607604188E10","88.49868762668255","0","0.9945945945945946","0.9965870307167235","0.9375","0.9899193548387096","9","28","11","[1 1 1 1 1 1 1 1 1 1 1 1 1]","[0.5 1 0.75 0 1 1 0.625 0.75 1 1 1 0.5 1 1 1 1 1 1 0.5]","0"
,"0.432088458389005","0.6114832252026565","0.71","29","67","3","1","2.8426128888269897E9","2.344524607604188E10","88.2773926121285","0","0.99375","0.9968553459119497","0.9375","0.9899193548387096","9","30","11","[1 1 1 1 1 1 1 1 1 1 1 1]","[1 0 0.625 1 1 1 1 0.6666666666666666 1 1 1 0.75 0.8333333333333334 1 0.6666666666666666 1 1 0.75 0.5 1 1 0.6666666666666666 1]","0"
,"0.4151549333831015","0.6114832252026567","0.65","24","72","3","1","2.3865048118928866E9","2.6717355485153015E10","87.72415507574337","0","0.993103448275862","0.996996996996997","0.9375","0.9899193548387096","10","33","11","[1 1 1 1 1 1 1]","[1 1 0.625 0.75 1 1 0.75 1 0.7 1 0 0 0.625 0.8333333333333334 1 0.6666666666666666 1 0.5 1 1 1 1 1 1 0.75 1]","0"
,"0.41515493338310167","0.6114832252026567","0.65","19","77","3","1","2.1160473118928874E9","2.671735548515301E10","87.05750873114921","0","0.8666666666666667","0.9972067039106145","0.9375","0.9596774193548387","10","40","11","[1 1 1 1]","[1 1 0.5 0.625 1 0.7 0.75 1 0.75 0.5 0.75 1 1 0.6666666666666666 0.75 1 0.625 0 1 1 1 0.6666666666666666 0.75 0.6666666666666666 1 0.75 1 0]","0"
